change_id,change_title,change_category,change_type,site_id,initiating_dept_id,requestor_id,description,business_justification,product_impact,regulatory_impact,regulatory_filing_required,safety_impact,initiation_date,impact_assess_due_date,impact_assess_complete_dt,approval_date,implementation_date,close_date,status,approved_by,linked_capa_id,linked_deviation_id
CHG-0027,Minor Material change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,10,28,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-02-15,2022-03-01,2022-03-04,2022-03-29,2022-03-18,2022-04-02,Closed,118,,
CHG-0028,Major Software change at Philadelphia Manufacturing,Software,Major,SITE-US-01,10,51,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-09-11,2022-09-25,2022-09-20,2022-10-23,2022-12-02,2022-12-08,Closed,67,,
CHG-0029,Minor Material change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,4,119,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2022-06-26,2022-07-10,2022-07-03,2022-07-10,2022-08-22,2022-09-01,Closed,82,,
CHG-0030,Minor Labeling change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,9,22,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2022-02-14,2022-02-28,2022-03-01,2022-03-24,2022-04-20,2022-04-27,Closed,35,,
CHG-0031,Critical Software change at Philadelphia Manufacturing,Process,Critical,SITE-US-01,4,93,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,PAS,False,2023-01-23,2023-02-06,2023-02-02,2023-02-08,2023-05-08,2023-05-19,Closed,82,,
CHG-0032,Major Material change at Philadelphia Manufacturing,Process,Major,SITE-US-01,9,120,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-07-13,2023-07-27,2023-07-23,2023-08-01,2023-10-13,2023-10-22,Closed,79,CAPA-0104,
CHG-0033,Minor Software change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,7,1,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,CBE-30,False,2023-07-14,2023-07-28,2023-07-24,2023-08-27,2023-08-14,2023-08-26,Closed,75,,
CHG-0034,Emergency Labeling change at Philadelphia Manufacturing,Software,Emergency,SITE-US-01,6,22,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-05-12,2023-05-26,2023-05-29,2023-06-19,2023-05-28,2023-06-09,Closed,118,,
CHG-0035,Minor Material change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,3,101,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-05-06,2023-05-20,2023-05-18,2023-05-27,2023-06-25,2023-07-03,Closed,1,,
CHG-0036,Major Software change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,3,73,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-11-08,2023-11-22,2023-11-19,2023-11-25,2024-02-03,2024-02-10,Closed,86,CAPA-0216,
CHG-0037,Major Labeling change at Philadelphia Manufacturing,Labeling,Major,SITE-US-01,4,119,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-09-02,2023-09-16,2023-09-23,2023-10-11,2023-11-24,2023-12-09,Closed,113,,
CHG-0038,Major Facility change at Philadelphia Manufacturing,Software,Major,SITE-US-01,2,31,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-07-21,2023-08-04,2023-08-11,2023-08-05,2023-10-19,2023-10-29,Closed,61,,
CHG-0039,Emergency Facility change at Philadelphia Manufacturing,Labeling,Emergency,SITE-US-01,3,112,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-02-25,2023-03-11,2023-03-18,2023-04-06,2023-03-09,2023-03-16,Closed,81,,
CHG-0040,Minor Labeling change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,9,37,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-09-07,2023-09-21,2023-09-20,2023-10-11,2023-10-06,2023-10-16,Closed,20,CAPA-0026,
CHG-0041,Minor Labeling change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,8,14,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-04-07,2023-04-21,2023-04-27,2023-05-08,2023-05-30,2023-06-04,Closed,23,,
CHG-0042,Minor Process change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,2,8,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-08-04,2023-08-18,2023-08-17,2023-08-20,2023-09-25,2023-10-08,Closed,19,,
CHG-0043,Major Software change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,8,18,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-12-22,2024-01-05,2024-01-11,2024-02-03,2024-03-08,2024-03-18,Closed,101,,
CHG-0044,Major Equipment change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,7,64,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-06-06,2023-06-20,2023-06-13,2023-06-30,2023-09-27,2023-10-04,Closed,73,CAPA-0001,
CHG-0045,Critical Labeling change at Philadelphia Manufacturing,Process,Critical,SITE-US-01,2,52,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-09-10,2023-09-24,2023-09-25,2023-10-18,2024-01-04,2024-01-19,Closed,112,CAPA-0221,
CHG-0046,Minor Process change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,8,108,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-02-14,2023-02-28,2023-02-24,2023-03-11,2023-03-28,2023-04-07,Closed,23,,
CHG-0047,Minor Facility change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,7,71,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-09-26,2023-10-10,2023-10-04,2023-11-01,2023-10-29,2023-11-13,Closed,89,,
CHG-0048,Minor Equipment change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,2,24,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-12-11,2023-12-25,2023-12-31,2024-01-13,2024-01-14,2024-01-20,Closed,57,CAPA-0167,
CHG-0049,Minor Facility change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,9,76,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-06-10,2023-06-24,2023-06-20,2023-06-28,2023-07-17,2023-07-27,Closed,20,CAPA-0145,
CHG-0050,Emergency Labeling change at Philadelphia Manufacturing,Facility,Emergency,SITE-US-01,3,53,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-10-27,2023-11-10,2023-11-16,2023-11-17,2023-11-05,2023-11-13,Closed,24,,
CHG-0051,Major Facility change at Philadelphia Manufacturing,Material,Major,SITE-US-01,9,47,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-01-11,2023-01-25,2023-01-20,2023-02-23,2023-04-03,2023-04-14,Closed,82,CAPA-0051,
CHG-0052,Minor Software change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,5,93,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,True,2023-11-07,2023-11-21,2023-11-22,2023-11-23,2023-12-11,2023-12-25,Closed,11,CAPA-0117,
CHG-0053,Major Material change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,8,93,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,None,False,2023-04-16,2023-04-30,2023-05-01,2023-05-02,2023-07-04,2023-07-15,Closed,50,,
CHG-0054,Major Material change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,5,25,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-06-14,2023-06-28,2023-06-26,2023-07-01,2023-08-27,2023-09-03,Closed,97,,
CHG-0055,Minor Material change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,5,1,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-02-11,2023-02-25,2023-02-27,2023-03-07,2023-03-23,2023-04-04,Closed,11,CAPA-0169,
CHG-0056,Minor Facility change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,9,5,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,None,False,2023-09-26,2023-10-10,2023-10-11,2023-11-05,2023-11-26,2023-12-06,Closed,55,,
CHG-0057,Major Software change at Philadelphia Manufacturing,Software,Major,SITE-US-01,1,94,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-09-12,2023-09-26,2023-09-21,2023-10-16,2023-12-12,2023-12-20,Closed,79,,
CHG-0058,Critical Process change at Philadelphia Manufacturing,Material,Critical,SITE-US-01,10,103,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-01-11,2023-01-25,2023-01-18,2023-02-12,2023-05-09,2023-05-14,Closed,89,,
CHG-0059,Major Facility change at Philadelphia Manufacturing,Process,Major,SITE-US-01,10,39,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-05-12,2023-05-26,2023-05-24,2023-06-03,2023-07-23,2023-08-05,Closed,113,CAPA-0234,
CHG-0060,Minor Facility change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,2,86,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-02-11,2023-02-25,2023-02-20,2023-03-08,2023-03-21,2023-04-02,Closed,86,,
CHG-0061,Major Labeling change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,6,54,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-05-26,2023-06-09,2023-06-15,2023-06-28,2023-08-19,2023-09-03,Closed,28,,
CHG-0062,Critical Labeling change at Philadelphia Manufacturing,Process,Critical,SITE-US-01,4,19,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-04-06,2023-04-20,2023-04-19,2023-05-18,2023-07-24,2023-08-05,Closed,66,,
CHG-0063,Major Equipment change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,6,62,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-02-16,2023-03-02,2023-02-24,2023-04-01,2023-05-13,2023-05-21,Closed,106,CAPA-0218,
CHG-0064,Emergency Equipment change at Philadelphia Manufacturing,Facility,Emergency,SITE-US-01,6,75,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-12-16,2023-12-30,2024-01-04,2024-01-18,2024-01-11,2024-01-19,Closed,49,,
CHG-0065,Minor Process change at Philadelphia Manufacturing,Process,Minor,SITE-US-01,5,24,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-01-03,2023-01-17,2023-01-18,2023-01-21,2023-01-31,2023-02-13,Closed,30,,
CHG-0066,Minor Labeling change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,5,52,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,True,None,False,2023-11-15,2023-11-29,2023-12-01,2023-11-29,2024-01-06,2024-01-13,Closed,32,,
CHG-0067,Major Facility change at Philadelphia Manufacturing,Software,Major,SITE-US-01,10,55,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-08-08,2023-08-22,2023-08-23,2023-09-19,2023-11-18,2023-11-23,Closed,3,CAPA-0118,
CHG-0068,Minor Equipment change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,3,118,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-12-09,2023-12-23,2023-12-20,2023-12-23,2024-02-09,2024-02-16,Closed,66,,
CHG-0069,Minor Equipment change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,10,8,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2023-04-03,2023-04-17,2023-04-11,2023-04-18,2023-05-18,2023-05-25,Closed,16,,
CHG-0070,Emergency Software change at Philadelphia Manufacturing,Process,Emergency,SITE-US-01,3,88,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-06-02,2023-06-16,2023-06-13,2023-07-12,2023-06-12,2023-06-27,Closed,73,,
CHG-0071,Major Equipment change at Philadelphia Manufacturing,Labeling,Major,SITE-US-01,7,90,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-10-12,2023-10-26,2023-11-02,2023-11-17,2024-01-30,2024-02-09,Closed,115,,
CHG-0072,Major Material change at Philadelphia Manufacturing,Software,Major,SITE-US-01,6,38,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2023-02-27,2023-03-13,2023-03-09,2023-04-01,2023-05-05,2023-05-18,Closed,62,CAPA-0057,
CHG-0073,Emergency Process change at Philadelphia Manufacturing,Software,Emergency,SITE-US-01,2,114,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,True,2024-10-11,2024-10-25,2024-10-27,2024-11-13,2024-10-08,2024-10-18,Closed,23,,
CHG-0074,Minor Software change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,9,2,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-12-16,2024-12-30,2024-12-25,2025-01-29,2025-02-18,,Implementation,36,CAPA-0135,
CHG-0075,Critical Labeling change at Philadelphia Manufacturing,Process,Critical,SITE-US-01,5,66,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-05-05,2024-05-19,2024-05-25,2024-06-06,2024-08-23,2024-09-05,Closed,45,CAPA-0176,
CHG-0076,Minor Equipment change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,10,82,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-07-17,2024-07-31,2024-08-07,2024-08-31,2024-09-18,2024-09-25,Closed,41,,
CHG-0077,Minor Material change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,7,9,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-08-15,2024-08-29,2024-08-30,2024-09-01,2024-10-05,2024-10-16,Closed,31,,
CHG-0078,Minor Facility change at Philadelphia Manufacturing,Facility,Minor,SITE-US-01,3,49,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-03-23,2024-04-06,2024-04-06,2024-05-02,2024-05-20,2024-05-27,Closed,17,,
CHG-0079,Minor Process change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,3,115,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-08-17,2024-08-31,2024-08-29,2024-09-14,2024-09-26,2024-10-08,Closed,22,CAPA-0040,
CHG-0080,Major Facility change at Philadelphia Manufacturing,Labeling,Major,SITE-US-01,10,45,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,True,2024-01-02,2024-01-16,2024-01-09,2024-02-15,2024-04-14,2024-04-29,Closed,108,,
CHG-0081,Minor Labeling change at Philadelphia Manufacturing,Labeling,Minor,SITE-US-01,3,19,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-09-17,2024-10-01,2024-09-27,2024-10-24,2024-11-13,2024-11-24,Closed,19,,
CHG-0082,Minor Equipment change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,10,94,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-06-19,2024-07-03,2024-06-26,2024-08-03,2024-08-06,2024-08-14,Closed,65,,
CHG-0083,Minor Equipment change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,2,14,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-11-19,2024-12-03,2024-11-26,2024-12-08,2024-12-21,2024-12-29,Closed,109,,
CHG-0084,Major Process change at Philadelphia Manufacturing,Facility,Major,SITE-US-01,4,44,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-09-21,2024-10-05,2024-10-02,2024-10-20,2024-12-24,,Approval,5,CAPA-0181,
CHG-0085,Minor Facility change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,1,59,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-09-19,2024-10-03,2024-09-28,2024-10-11,2024-10-17,2024-10-29,Closed,56,,
CHG-0086,Minor Software change at Philadelphia Manufacturing,Equipment,Minor,SITE-US-01,8,42,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-04-19,2024-05-03,2024-05-07,2024-05-11,2024-06-08,2024-06-23,Closed,103,,
CHG-0087,Major Material change at Philadelphia Manufacturing,Software,Major,SITE-US-01,6,77,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,CBE-30,False,2024-11-21,2024-12-05,2024-12-05,2025-01-04,2025-03-02,,Approval,14,,
CHG-0088,Critical Software change at Philadelphia Manufacturing,Facility,Critical,SITE-US-01,8,113,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,False,None,False,2024-07-19,2024-08-02,2024-08-08,2024-08-09,2024-11-04,2024-11-10,Closed,67,CAPA-0203,
CHG-0089,Minor Software change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,10,58,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-08-13,2024-08-27,2024-08-31,2024-09-03,2024-10-03,2024-10-15,Closed,103,CAPA-0205,
CHG-0090,Major Labeling change at Philadelphia Manufacturing,Equipment,Major,SITE-US-01,1,76,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-01-06,2024-01-20,2024-01-25,2024-02-11,2024-04-11,2024-04-23,Closed,29,,
CHG-0091,Minor Equipment change at Philadelphia Manufacturing,Material,Minor,SITE-US-01,4,94,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-05-12,2024-05-26,2024-06-01,2024-06-25,2024-06-12,2024-06-21,Closed,53,,
CHG-0092,Minor Software change at Philadelphia Manufacturing,Software,Minor,SITE-US-01,7,49,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,True,True,CBE-0,False,2024-07-13,2024-07-27,2024-08-02,2024-07-30,2024-08-24,2024-09-05,Closed,5,,
CHG-0093,Emergency Equipment change at Philadelphia Manufacturing,Process,Emergency,SITE-US-01,1,21,Change to improve compliance and quality in Philadelphia Manufacturing,Quality improvement and regulatory compliance,False,False,None,False,2024-02-17,2024-03-02,2024-02-24,2024-03-07,2024-03-01,2024-03-12,Closed,61,CAPA-0221,
