capa_id,site_id,department_id,source_type,source_reference_id,severity,root_cause_category,root_cause_detail,description,initiated_by,owner_employee_id,initiation_date,target_close_date,actual_close_date,status,effectiveness_check_req,effectiveness_check_date,effectiveness_check_result,reopen_count,regulatory_notif_required
CAPA-0014,SITE-US-01,6,Inspection,,Critical,Training,Root cause identified as training deficiency in QC,CAPA initiated for critical quality event at Philadelphia Manufacturing,Quality System,68,2023-01-11,2023-02-10,,Overdue,True,,,1,False
CAPA-0015,SITE-US-01,5,Self-Identified,,Major,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,5,2023-05-11,2023-07-10,,Overdue,True,,,0,False
CAPA-0016,SITE-US-01,9,Self-Identified,,Major,Communication,Root cause identified as communication deficiency in Manufacturing,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,71,2024-05-29,2024-07-28,2024-07-18,Closed,True,2024-10-16,Pass,1,False
CAPA-0017,SITE-US-01,3,Self-Identified,,Major,Communication,Root cause identified as communication deficiency in QA,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,43,2022-12-29,2023-02-27,2023-02-12,Closed,True,2023-05-13,Pass,0,False
CAPA-0018,SITE-US-01,8,Self-Identified,,Minor,Material,Root cause identified as material deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,46,2024-07-01,2024-09-29,,Overdue,False,,,0,False
CAPA-0019,SITE-US-01,1,Self-Identified,,Major,Material,Root cause identified as material deficiency in QC,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,116,2022-06-13,2022-08-12,2022-06-29,Closed,True,2022-09-27,Pass,0,False
CAPA-0020,SITE-US-01,4,Audit,,Critical,System,Root cause identified as system deficiency in QA,CAPA initiated for critical quality event at Philadelphia Manufacturing,Quality System,13,2022-08-08,2022-09-07,2022-08-13,Closed,True,2022-11-11,Pass,0,False
CAPA-0021,SITE-US-01,5,Inspection,,Critical,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for critical quality event at Philadelphia Manufacturing,Quality System,7,2024-03-05,2024-04-04,,Overdue,True,,,0,False
CAPA-0022,SITE-US-01,5,Audit,,Major,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,1,2022-12-29,2023-02-27,2023-01-26,Closed,True,2023-04-26,Fail,0,False
CAPA-0023,SITE-US-01,6,Audit,,Major,Material,Root cause identified as material deficiency in QA,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,21,2022-10-04,2022-12-03,,Overdue,True,,,1,False
CAPA-0024,SITE-US-01,3,Complaint,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,57,2024-05-05,2024-08-03,2024-08-18,Closed,False,,,0,False
CAPA-0025,SITE-US-01,4,Deviation,,Critical,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for critical quality event at Philadelphia Manufacturing,Quality System,77,2023-11-27,2023-12-27,2023-12-17,Closed,True,2024-03-16,Pass,0,False
CAPA-0026,SITE-US-01,1,Audit,,Minor,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,37,2024-01-20,2024-04-19,,Overdue,False,,,0,False
CAPA-0027,SITE-US-01,10,Audit,,Minor,Training,Root cause identified as training deficiency in QA,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,36,2023-03-19,2023-06-17,,Overdue,False,,,0,False
CAPA-0028,SITE-US-01,5,Audit,,Major,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,70,2023-12-15,2024-02-13,2023-12-22,Closed,True,2024-03-21,Pass,0,False
CAPA-0029,SITE-US-01,3,Self-Identified,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,45,2022-07-12,2022-10-10,,Overdue,False,,,0,False
CAPA-0030,SITE-US-01,1,Inspection,,Minor,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,73,2023-05-14,2023-08-12,2023-05-24,Closed,False,,,0,False
CAPA-0031,SITE-US-01,8,Inspection,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,6,2022-01-27,2022-04-27,2022-04-12,Closed,False,,,0,False
CAPA-0032,SITE-US-01,4,Self-Identified,,Minor,Material,Root cause identified as material deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,40,2023-05-10,2023-08-08,2023-05-31,Closed,False,,,1,False
CAPA-0033,SITE-US-01,3,Complaint,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,2,2024-02-07,2024-05-07,2024-04-10,Closed,False,,,0,False
CAPA-0034,SITE-US-01,5,Deviation,,Major,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,24,2023-03-23,2023-05-22,2023-06-11,Closed,True,2023-09-09,Pass,0,False
CAPA-0035,SITE-US-01,3,Deviation,,Minor,System,Root cause identified as system deficiency in Manufacturing,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,40,2024-07-29,2024-10-27,2024-11-06,Closed,False,,,0,False
CAPA-0036,SITE-US-01,7,Audit,,Minor,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,32,2023-11-09,2024-02-07,2023-11-18,Closed,False,,,0,False
CAPA-0037,SITE-US-01,5,Deviation,,Minor,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for minor quality event at Philadelphia Manufacturing,Quality System,20,2022-01-12,2022-04-12,,Overdue,False,,,0,False
CAPA-0038,SITE-US-01,6,Inspection,,Critical,System,Root cause identified as system deficiency in QC,CAPA initiated for critical quality event at Philadelphia Manufacturing,Quality System,97,2022-08-27,2022-09-26,2022-09-05,Closed,True,2022-12-04,Fail,0,False
CAPA-0039,SITE-US-01,7,Complaint,,Major,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for major quality event at Philadelphia Manufacturing,Quality System,51,2024-07-12,2024-09-10,2024-07-27,Closed,True,2024-10-25,Pass,0,False
CAPA-0040,SITE-US-02,13,Inspection,,Minor,Material,Root cause identified as material deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,143,2024-05-08,2024-08-06,,Overdue,False,,,1,False
CAPA-0041,SITE-US-02,18,Audit,,Major,System,Root cause identified as system deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,143,2024-12-02,2025-01-31,2024-12-08,Closed,True,2025-03-08,Fail,0,False
CAPA-0042,SITE-US-02,13,Audit,,Minor,Material,Root cause identified as material deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,154,2023-04-08,2023-07-07,2023-06-07,Closed,False,,,0,False
CAPA-0043,SITE-US-02,12,Inspection,,Minor,Material,Root cause identified as material deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,128,2022-09-12,2022-12-11,,Overdue,False,,,0,False
CAPA-0044,SITE-US-02,16,Self-Identified,,Major,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,151,2024-10-27,2024-12-26,2024-12-06,Closed,True,2025-03-06,Pass,0,False
CAPA-0045,SITE-US-02,14,Inspection,,Major,Communication,Root cause identified as communication deficiency in Manufacturing,CAPA initiated for major quality event at Boston R&D Center,Quality System,125,2022-07-12,2022-09-10,2022-09-03,Closed,True,2022-12-02,Pass,0,False
CAPA-0046,SITE-US-02,15,Complaint,,Minor,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,124,2024-02-08,2024-05-08,2024-04-14,Closed,False,,,0,False
CAPA-0047,SITE-US-02,14,Self-Identified,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,155,2022-07-16,2022-10-14,2022-09-20,Closed,False,,,0,False
CAPA-0048,SITE-US-02,13,Audit,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,126,2022-09-19,2022-12-18,,Overdue,False,,,0,False
CAPA-0049,SITE-US-02,12,Audit,,Major,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,144,2023-07-23,2023-09-21,,Overdue,True,,,0,False
CAPA-0050,SITE-US-02,11,Complaint,,Minor,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for minor quality event at Boston R&D Center,Quality System,135,2023-02-06,2023-05-07,2023-02-12,Closed,False,,,0,False
CAPA-0051,SITE-US-02,16,Deviation,,Major,System,Root cause identified as system deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,129,2022-09-26,2022-11-25,2022-10-09,Closed,True,2023-01-07,Pass,0,False
CAPA-0052,SITE-US-02,11,Complaint,,Major,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for major quality event at Boston R&D Center,Quality System,149,2024-05-05,2024-07-04,2024-05-22,Closed,True,2024-08-20,Pass,2,False
CAPA-0053,SITE-US-02,11,Deviation,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,147,2023-12-30,2024-02-28,2024-01-18,Closed,True,2024-04-17,Pass,0,False
CAPA-0054,SITE-US-02,14,Audit,,Minor,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,137,2022-06-01,2022-08-30,2022-06-26,Closed,False,,,1,False
CAPA-0055,SITE-US-02,13,Self-Identified,,Minor,System,Root cause identified as system deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,133,2023-05-23,2023-08-21,2023-06-05,Closed,False,,,0,False
CAPA-0056,SITE-US-02,17,Inspection,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,123,2022-08-31,2022-10-30,2022-11-16,Closed,True,2023-02-14,Pass,0,False
CAPA-0057,SITE-US-02,15,Complaint,,Minor,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,123,2024-03-17,2024-06-15,2024-05-11,Closed,False,,,0,False
CAPA-0058,SITE-US-02,14,Self-Identified,,Minor,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for minor quality event at Boston R&D Center,Quality System,143,2024-06-22,2024-09-20,2024-08-05,Closed,False,,,0,False
CAPA-0059,SITE-US-02,13,Inspection,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,126,2022-01-18,2022-03-19,2022-02-04,Closed,True,2022-05-05,Pass,0,False
CAPA-0060,SITE-US-02,16,Self-Identified,,Major,System,Root cause identified as system deficiency in QC,CAPA initiated for major quality event at Boston R&D Center,Quality System,138,2022-10-28,2022-12-27,,Overdue,True,,,1,False
CAPA-0061,SITE-US-02,12,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,130,2022-11-06,2023-01-05,2022-11-13,Closed,True,2023-02-11,Pass,0,False
CAPA-0062,SITE-US-02,14,Self-Identified,,Minor,System,Root cause identified as system deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,136,2023-09-30,2023-12-29,2023-12-17,Closed,False,,,0,False
CAPA-0063,SITE-US-02,13,Complaint,,Minor,Procedure,Root cause identified as procedure deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,144,2022-10-02,2022-12-31,,Overdue,False,,,0,False
CAPA-0064,SITE-US-02,12,Complaint,,Major,Material,Root cause identified as material deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,146,2024-12-24,2025-02-22,2024-12-31,Closed,True,2025-03-31,Pass,0,False
CAPA-0065,SITE-US-02,16,Inspection,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,158,2023-07-01,2023-08-30,2023-08-19,Closed,True,2023-11-17,Pass,0,False
CAPA-0066,SITE-US-02,14,Complaint,,Minor,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for minor quality event at Boston R&D Center,Quality System,148,2023-07-04,2023-10-02,,Overdue,False,,,0,False
CAPA-0067,SITE-US-02,17,Audit,,Minor,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for minor quality event at Boston R&D Center,Quality System,134,2024-01-30,2024-04-29,,Overdue,False,,,0,False
CAPA-0068,SITE-US-02,16,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in QC,CAPA initiated for major quality event at Boston R&D Center,Quality System,153,2023-07-29,2023-09-27,2023-08-04,Closed,True,2023-11-02,Pass,1,False
CAPA-0069,SITE-US-02,17,Complaint,,Major,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,132,2023-12-01,2024-01-30,2024-02-29,Closed,True,2024-05-29,Pass,0,False
CAPA-0070,SITE-US-02,12,Complaint,,Critical,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for critical quality event at Boston R&D Center,Quality System,145,2023-05-06,2023-06-05,,Overdue,True,,,0,True
CAPA-0071,SITE-US-02,13,Inspection,,Critical,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for critical quality event at Boston R&D Center,Quality System,140,2023-08-09,2023-09-08,2023-08-31,Closed,True,2023-11-29,Pass,0,False
CAPA-0072,SITE-US-02,12,Audit,,Minor,System,Root cause identified as system deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,155,2023-03-14,2023-06-12,2023-04-16,Closed,False,,,0,False
CAPA-0073,SITE-US-02,16,Self-Identified,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Boston R&D Center,Quality System,126,2022-09-07,2022-12-06,2022-10-03,Closed,False,,,0,False
CAPA-0074,SITE-US-02,17,Self-Identified,,Major,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for major quality event at Boston R&D Center,Quality System,137,2023-07-30,2023-09-28,2023-09-15,Closed,True,2023-12-14,Pass,1,False
CAPA-0075,SITE-US-02,11,Self-Identified,,Critical,Human Error,Root cause identified as human error deficiency in Regulatory,CAPA initiated for critical quality event at Boston R&D Center,Quality System,142,2024-10-17,2024-11-16,2024-10-27,Closed,True,2025-01-25,Fail,1,False
CAPA-0076,SITE-US-02,14,Deviation,,Minor,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for minor quality event at Boston R&D Center,Quality System,121,2023-04-01,2023-06-30,2023-07-18,Closed,False,,,0,False
CAPA-0077,SITE-US-02,13,Inspection,,Major,System,Root cause identified as system deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,122,2022-08-17,2022-10-16,2022-10-09,Closed,True,2023-01-07,Pending,0,False
CAPA-0078,SITE-US-02,13,Deviation,,Major,Training,Root cause identified as training deficiency in QA,CAPA initiated for major quality event at Boston R&D Center,Quality System,140,2024-01-23,2024-03-23,2024-01-30,Closed,True,2024-04-29,Pass,0,False
CAPA-0079,SITE-US-02,15,Deviation,,Minor,Training,Root cause identified as training deficiency in QA,CAPA initiated for minor quality event at Boston R&D Center,Quality System,134,2024-08-06,2024-11-04,,Overdue,False,,,0,False
CAPA-0080,SITE-US-02,14,Inspection,,Minor,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,143,2024-03-26,2024-06-24,2024-07-04,Closed,False,,,0,False
CAPA-0081,SITE-US-02,18,Deviation,,Minor,System,Root cause identified as system deficiency in QC,CAPA initiated for minor quality event at Boston R&D Center,Quality System,129,2022-11-12,2023-02-10,2022-11-20,Closed,False,,,0,False
CAPA-0082,SITE-EU-01,21,Deviation,,Minor,System,Root cause identified as system deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,242,2023-12-23,2024-03-22,,Overdue,False,,,1,False
CAPA-0083,SITE-EU-01,24,Inspection,,Major,System,Root cause identified as system deficiency in Manufacturing,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,261,2024-06-25,2024-08-24,2024-08-07,Closed,True,2024-11-05,Pass,0,False
CAPA-0084,SITE-EU-01,19,Self-Identified,,Major,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,166,2022-09-22,2022-11-21,2022-09-29,Closed,True,2022-12-28,Pass,0,False
CAPA-0085,SITE-EU-01,21,Deviation,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,165,2024-03-07,2024-06-05,,Overdue,False,,,0,False
CAPA-0086,SITE-EU-01,27,Deviation,,Critical,System,Root cause identified as system deficiency in Manufacturing,CAPA initiated for critical quality event at Dublin Manufacturing,Quality System,251,2022-07-22,2022-08-21,2022-08-07,Closed,True,2022-11-05,Pass,1,False
CAPA-0087,SITE-EU-01,25,Inspection,,Minor,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,202,2024-06-09,2024-09-07,,Overdue,False,,,0,False
CAPA-0088,SITE-EU-01,21,Deviation,,Minor,Communication,Root cause identified as communication deficiency in QA,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,242,2024-06-25,2024-09-23,2024-07-27,Closed,False,,,2,False
CAPA-0089,SITE-EU-01,28,Deviation,,Minor,Equipment,Root cause identified as equipment deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,183,2022-08-06,2022-11-04,2022-09-24,Closed,False,,,0,False
CAPA-0090,SITE-EU-01,24,Audit,,Major,Communication,Root cause identified as communication deficiency in Regulatory,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,192,2023-12-26,2024-02-24,2024-02-08,Closed,True,2024-05-08,Fail,0,False
CAPA-0091,SITE-EU-01,26,Complaint,,Minor,Equipment,Root cause identified as equipment deficiency in QA,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,266,2024-09-07,2024-12-06,2024-09-26,Closed,False,,,0,False
CAPA-0092,SITE-EU-01,27,Complaint,,Critical,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for critical quality event at Dublin Manufacturing,Quality System,162,2023-04-29,2023-05-29,2023-05-21,Closed,True,2023-08-19,Fail,0,True
CAPA-0093,SITE-EU-01,26,Complaint,,Major,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,169,2024-02-29,2024-04-29,2024-03-23,Closed,True,2024-06-21,Pass,0,False
CAPA-0094,SITE-EU-01,20,Complaint,,Minor,Training,Root cause identified as training deficiency in QA,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,215,2023-07-21,2023-10-19,2023-10-06,Closed,False,,,0,False
CAPA-0095,SITE-EU-01,28,Audit,,Critical,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for critical quality event at Dublin Manufacturing,Quality System,236,2023-07-03,2023-08-02,2023-07-18,Closed,True,2023-10-16,Pending,0,False
CAPA-0096,SITE-EU-01,19,Complaint,,Minor,Material,Root cause identified as material deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,216,2024-07-12,2024-10-10,2024-09-16,Closed,False,,,0,False
CAPA-0097,SITE-EU-01,20,Deviation,,Minor,Training,Root cause identified as training deficiency in QC,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,170,2022-11-21,2023-02-19,2023-01-28,Closed,False,,,0,False
CAPA-0098,SITE-EU-01,25,Inspection,,Minor,Procedure,Root cause identified as procedure deficiency in Regulatory,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,212,2023-02-18,2023-05-19,,Overdue,False,,,1,False
CAPA-0099,SITE-EU-01,22,Audit,,Minor,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,177,2022-03-16,2022-06-14,2022-04-11,Closed,False,,,1,False
CAPA-0100,SITE-EU-01,27,Self-Identified,,Minor,System,Root cause identified as system deficiency in Regulatory,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,244,2024-06-15,2024-09-13,2024-09-28,Closed,False,,,1,False
CAPA-0101,SITE-EU-01,28,Complaint,,Major,Human Error,Root cause identified as human error deficiency in Manufacturing,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,175,2024-05-10,2024-07-09,,Overdue,True,,,1,False
CAPA-0102,SITE-EU-01,28,Complaint,,Minor,Communication,Root cause identified as communication deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,190,2022-07-07,2022-10-05,2022-07-15,Closed,False,,,0,False
CAPA-0103,SITE-EU-01,26,Inspection,,Major,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,197,2022-09-13,2022-11-12,2022-10-10,Closed,True,2023-01-08,Pass,0,False
CAPA-0104,SITE-EU-01,27,Inspection,,Minor,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,200,2024-07-23,2024-10-21,2024-10-27,Closed,False,,,0,False
CAPA-0105,SITE-EU-01,26,Self-Identified,,Minor,Equipment,Root cause identified as equipment deficiency in Regulatory,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,279,2023-09-26,2023-12-25,,Overdue,False,,,0,False
CAPA-0106,SITE-EU-01,19,Complaint,,Minor,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,165,2023-09-26,2023-12-25,2023-11-19,Closed,False,,,0,False
CAPA-0107,SITE-EU-01,25,Complaint,,Major,Training,Root cause identified as training deficiency in Regulatory,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,239,2022-02-17,2022-04-18,2022-03-24,Closed,True,2022-06-22,Pass,0,False
CAPA-0108,SITE-EU-01,25,Deviation,,Major,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,187,2024-08-09,2024-10-08,2024-09-24,Closed,True,2024-12-23,Pass,0,False
CAPA-0109,SITE-EU-01,26,Inspection,,Minor,Training,Root cause identified as training deficiency in Manufacturing,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,215,2024-01-30,2024-04-29,2024-03-19,Closed,False,,,0,False
CAPA-0110,SITE-EU-01,27,Self-Identified,,Major,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,239,2023-09-06,2023-11-05,2023-09-29,Closed,True,2023-12-28,Pass,0,False
CAPA-0111,SITE-EU-01,23,Deviation,,Major,Material,Root cause identified as material deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,251,2023-07-31,2023-09-29,2023-08-26,Closed,True,2023-11-24,Pass,1,False
CAPA-0112,SITE-EU-01,28,Deviation,,Minor,Human Error,Root cause identified as human error deficiency in QC,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,196,2022-05-30,2022-08-28,2022-09-20,Closed,False,,,0,False
CAPA-0113,SITE-EU-01,27,Deviation,,Major,Procedure,Root cause identified as procedure deficiency in Manufacturing,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,189,2024-07-12,2024-09-10,2024-08-12,Closed,True,2024-11-10,Pass,0,False
CAPA-0114,SITE-EU-01,27,Self-Identified,,Minor,Communication,Root cause identified as communication deficiency in QC,CAPA initiated for minor quality event at Dublin Manufacturing,Quality System,173,2023-11-04,2024-02-02,2023-12-06,Closed,False,,,0,False
CAPA-0115,SITE-EU-01,26,Deviation,,Major,Communication,Root cause identified as communication deficiency in QA,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,249,2023-05-26,2023-07-25,,Overdue,True,,,0,False
CAPA-0116,SITE-EU-01,24,Deviation,,Major,Procedure,Root cause identified as procedure deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,241,2022-12-21,2023-02-19,2023-03-06,Closed,True,2023-06-04,Pass,1,False
CAPA-0117,SITE-EU-01,19,Complaint,,Major,Training,Root cause identified as training deficiency in QC,CAPA initiated for major quality event at Dublin Manufacturing,Quality System,233,2024-04-25,2024-06-24,2024-06-18,Closed,True,2024-09-16,Pass,0,False
